"titles" "pubdates" "links" "Trade.Time" "Last" "Trade.Time.1" "Last.1" "Trade.Time.2" "Last.2"
38 "NetSuite shares on roller coaster ahead of $9.3 billion Oracle deal deadline" "Fri, 04 Nov 2016 14:37:14 GMT" NA "Nov 4, 11:14AM EDT" 42.79 "Nov 4, 11:34AM EDT" 42.74 "Nov 4, 12:14PM EDT"
39 "NetSuite shares on roller coaster ahead of $9.3 bln Oracle deal deadline" "Fri, 04 Nov 2016 14:34:33 GMT" NA "Nov 4, 11:14AM EDT" 11.59 "Nov 4, 11:34AM EDT" 11.53 "Nov 4, 12:14PM EDT"
40 "Heres Why ENSCO PLC (ESV), Yum! Brands, Inc. (YUM), and Three Other Stocks Are Trending Today" "Fri, 04 Nov 2016 15:10:49 GMT" NA "Nov 4, 11:15AM EDT" 7.52 "Nov 4, 11:35AM EDT" 7.4 "Nov 4, 12:15PM EDT"
41 "Ford Canada labor deal investment mainly for engines-sources" "Fri, 04 Nov 2016 15:25:58 GMT" NA "Nov 4, 11:27AM EDT" 11.48 "Nov 4, 11:48AM EDT" 11.46 "Nov 4, 12:28PM EDT"
42 "Buffetts Berkshire Hathaway Expected to See Stable Growth in 3Q16" "Fri, 04 Nov 2016 15:25:14 GMT" NA "Nov 4, 11:28AM EDT" 143.27 "Nov 4, 11:48AM EDT" 143.32 "Nov 4, 12:28PM EDT"
43 "Heres Why ENSCO PLC (ESV), Yum! Brands, Inc. (YUM), and Three Other Stocks Are Trending Today" "Fri, 04 Nov 2016 15:10:49 GMT" NA "Nov 4, 11:29AM EDT" 45.15 "Nov 4, 11:49AM EDT" 45.12 "Nov 4, 12:29PM EDT"
44 "[$$] If Oracle-NetSuite Dies, Three Stocks Benefit" "Fri, 04 Nov 2016 15:09:00 GMT" NA "Nov 4, 11:29AM EDT" 38.47 "Nov 4, 11:49AM EDT" 38.45 "Nov 4, 12:29PM EDT"
45 "Nabors Industries Ltd. :NBR-US: Earnings Analysis: Q3, 2016 By the Numbers : November 4, 2016" "Fri, 04 Nov 2016 15:08:05 GMT" NA "Nov 4, 11:29AM EDT" 38.47 "Nov 4, 11:49AM EDT" 38.45 "Nov 4, 12:29PM EDT"
46 "Why AT&Ts EBITDA Margin Could Continue to Grow" "Fri, 04 Nov 2016 15:04:33 GMT" NA "Nov 4, 11:29AM EDT" 36.65 "Nov 4, 11:49AM EDT" 36.65 "Nov 4, 12:29PM EDT"
47 "Even the Lowest Target Price Means Upside for Marathon Oil" "Fri, 04 Nov 2016 15:04:21 GMT" NA "Nov 4, 11:29AM EDT" 9.31 "Nov 4, 11:49AM EDT" 9.3 "Nov 4, 12:29PM EDT"
48 "Pa. Treasury suspends Wells Fargo from trading over fake accounts scandal" "Fri, 04 Nov 2016 14:58:22 GMT" NA "Nov 4, 11:29AM EDT" 11.57 "Nov 4, 11:49AM EDT" 11.48 "Nov 4, 12:29PM EDT"
49 "U.S. tentatively grants antitrust approval for Delta, Aeromexico alliance" "Fri, 04 Nov 2016 14:56:41 GMT" NA "Nov 4, 11:29AM EDT" 7.44 "Nov 4, 11:49AM EDT" 7.39 "Nov 4, 12:29PM EDT"
50 "Transocean Ltd. :RIG-US: Earnings Analysis: Q3, 2016 By the Numbers : November 4, 2016" "Fri, 04 Nov 2016 14:55:34 GMT" NA "Nov 4, 11:29AM EDT" 9.85 "Nov 4, 11:49AM EDT" 9.8 "Nov 4, 12:28PM EDT"
51 "WPX Energy, Inc. :WPX-US: Earnings Analysis: Q3, 2016 By the Numbers : November 4, 2016" "Fri, 04 Nov 2016 14:49:09 GMT" NA "Nov 4, 11:29AM EDT" 13.97 "Nov 4, 11:49AM EDT" 13.85 "Nov 4, 12:29PM EDT"
52 "IMPORTANT EQUITY ALERT: Khang & Khang LLP Announces Securities Class Action Lawsuit against Xerox Corporation and Encourages Investors with Losses to Contact the Firm" "Fri, 04 Nov 2016 14:38:00 GMT" NA "Nov 4, 11:29AM EDT" 42.78 "Nov 4, 11:49AM EDT" 42.68 "Nov 4, 12:29PM EDT"
